CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,STAGE
1815820100290487,1514,4,4,33,2024,261.0,7.6,28.0,28.0,3.0
1815820101290487,1514,4,5,33,2024,261.0,11.8,53.0,53.0,4.0
1815820102290487,1514,4,7,33,2024,261.0,18.0,73.0,73.0,5.0
1815820340290487,1549,2,1,33,2024,261.0,13.7,58.0,58.0,5.0
1815820341290487,1549,2,2,33,2024,261.0,7.5,43.0,43.0,3.0
1815820350290487,1549,2,11,33,2024,261.0,5.9,27.0,27.0,3.0
1815820351290487,1549,2,12,33,2024,261.0,9.2,38.0,38.0,4.0
1815820363290487,1549,3,9,33,2024,261.0,6.9,20.0,20.0,3.0
1815820361290487,1549,3,7,33,2024,261.0,7.5,40.0,40.0,3.0
1815820386290487,1549,4,18,33,2024,261.0,2.1,15.0,15.0,1.0
1815820388290487,1549,4,20,33,2024,261.0,2.3,15.0,15.0,2.0
1815820389290487,1549,4,21,33,2024,261.0,1.8,12.0,12.0,1.0
1815820390290487,1549,4,22,33,2024,261.0,2.8,19.0,19.0,2.0
1815820391290487,1549,4,23,33,2024,261.0,1.4,9.0,9.0,1.0
1815820392290487,1549,4,24,33,2024,261.0,1.5,11.0,11.0,1.0
1815820393290487,1549,4,25,33,2024,261.0,1.2,9.0,9.0,1.0
1815821576290487,2504,1,3,33,2024,261.0,13.4,52.0,52.0,5.0
1815821581290487,2504,1,8,33,2024,261.0,11.5,53.0,53.0,4.0
1815821583290487,2504,1,10,33,2024,261.0,6.9,37.0,37.0,3.0
1815821584290487,2504,1,11,33,2024,261.0,15.0,72.0,72.0,5.0
1815821585290487,2504,1,12,33,2024,261.0,5.9,35.0,35.0,3.0
1815821590290487,2504,2,1,33,2024,261.0,3.6,20.0,15.0,2.0
1815821591290487,2504,2,2,33,2024,261.0,31.2,87.0,87.0,6.0
1815821595290487,2504,2,6,33,2024,261.0,13.9,68.0,68.0,5.0
1815821592290487,2504,2,3,33,2024,261.0,10.5,65.0,65.0,4.0
1815821593290487,2504,2,4,33,2024,261.0,16.7,72.0,72.0,5.0
1815821594290487,2504,2,5,33,2024,261.0,10.2,35.0,35.0,4.0
1815821596290487,2504,2,7,33,2024,261.0,13.3,67.0,67.0,5.0
1815821597290487,2504,2,8,33,2024,261.0,14.3,70.0,70.0,5.0
1815821598290487,2504,2,9,33,2024,261.0,18.8,84.0,84.0,5.0
1815821600290487,2504,3,3,33,2024,261.0,2.1,16.0,16.0,1.0
1815821601290487,2504,3,4,33,2024,261.0,2.4,18.0,18.0,2.0
1815821607290487,2504,3,10,33,2024,261.0,19.8,65.0,65.0,6.0
1815821608290487,2504,3,11,33,2024,261.0,8.2,40.0,40.0,4.0
1815821609290487,2504,3,12,33,2024,261.0,14.8,64.0,64.0,5.0
1815821610290487,2504,3,13,33,2024,261.0,8.3,55.0,55.0,4.0
1815821611290487,2504,3,14,33,2024,261.0,17.2,64.0,64.0,5.0
1815821612290487,2504,3,15,33,2024,261.0,1.0,10.0,10.0,1.0
1815821613290487,2504,4,1,33,2024,261.0,2.5,22.0,22.0,2.0
1815821618290487,2504,4,6,33,2024,261.0,6.4,39.0,39.0,3.0
1815821620290487,2504,4,8,33,2024,261.0,10.1,62.0,62.0,4.0
1815818113290487,870,2,11,33,2024,261.0,,,,
1815818116290487,870,2,14,33,2024,261.0,,,,
1815818129290487,870,3,14,33,2024,261.0,,,,
1815818133290487,870,3,18,33,2024,261.0,,,,
1815818134290487,870,3,19,33,2024,261.0,,,,
1815818137290487,870,4,2,33,2024,261.0,,,,
1815818136290487,870,4,1,33,2024,261.0,,,,
1815818140290487,870,4,5,33,2024,261.0,,,,
1815818143290487,870,4,8,33,2024,261.0,,,,
1815818144290487,870,4,9,33,2024,261.0,,,,
1815812489290487,1108,1,5,33,2024,261.0,17.2,76.0,76.0,5.0
1815812490290487,1108,1,6,33,2024,261.0,13.6,52.0,52.0,5.0
1815812496290487,1108,1,13,33,2024,261.0,14.1,58.0,58.0,5.0
1815812500290487,1108,1,17,33,2024,261.0,5.0,29.0,29.0,3.0
1815812502290487,1108,2,3,33,2024,261.0,,,,
1815812503290487,1108,2,5,33,2024,261.0,,,,
1815812511290487,1108,3,3,33,2024,261.0,19.1,74.0,74.0,5.0
1815812519290487,1108,4,4,33,2024,261.0,6.5,22.0,18.0,3.0
1815812530290487,1108,4,15,33,2024,261.0,1.2,10.0,10.0,1.0
1815812531290487,1108,4,16,33,2024,261.0,2.3,13.0,13.0,2.0
1815821522290487,2794,1,2,33,2024,261.0,26.6,78.0,78.0,6.0
1815821524290487,2794,1,5,33,2024,261.0,15.3,70.0,27.0,5.0
1815821525290487,2794,1,8,33,2024,261.0,24.2,80.0,80.0,6.0
