CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,TREECOUNT,STAGE
1809180898290487.0,462,3,3.0,25,2024,261.0,9.0,59.0,59.0,1.0,4.0
1809180899290487.0,462,3,4.0,25,2024,261.0,8.2,36.0,26.0,1.0,4.0
1809180900290487.0,462,3,5.0,25,2024,261.0,6.6,36.0,36.0,1.0,3.0
1809180901290487.0,462,3,6.0,25,2024,261.0,6.2,34.0,34.0,1.0,3.0
1809180902290487.0,462,3,7.0,25,2024,261.0,12.1,58.0,58.0,1.0,4.0
1809180903290487.0,462,3,8.0,25,2024,261.0,6.1,36.0,36.0,1.0,3.0
1809180904290487.0,462,3,9.0,25,2024,261.0,12.8,75.0,75.0,1.0,5.0
1809180905290487.0,462,3,10.0,25,2024,261.0,14.0,76.0,76.0,1.0,5.0
1809180906290487.0,462,3,11.0,25,2024,261.0,7.7,40.0,40.0,1.0,3.0
1809180908290487.0,462,3,13.0,25,2024,261.0,11.0,50.0,50.0,1.0,4.0
1809180909290487.0,462,3,14.0,25,2024,261.0,5.1,34.0,34.0,1.0,3.0
1809180912290487.0,462,4,3.0,25,2024,261.0,6.9,38.0,38.0,1.0,3.0
1809180915290487.0,462,4,6.0,25,2024,261.0,9.7,46.0,46.0,1.0,4.0
1809180919290487.0,462,4,10.0,25,2024,261.0,5.4,22.0,22.0,1.0,3.0
1809179152290487.0,606,2,12.0,25,2024,261.0,7.2,32.0,32.0,1.0,3.0
1809179154290487.0,606,2,14.0,25,2024,261.0,14.1,60.0,60.0,1.0,5.0
1809179586290487.0,661,3,9.0,25,2024,261.0,7.1,40.0,40.0,1.0,3.0
1809180000000000.0,692,1,,25,2024,261.0,,,,40.0,1.0
1809180668290487.0,692,1,46.0,25,2024,261.0,6.0,20.0,12.0,1.0,3.0
1809180671290487.0,692,1,49.0,25,2024,261.0,17.7,76.0,76.0,1.0,5.0
1809180676290487.0,692,1,54.0,25,2024,261.0,15.4,70.0,70.0,1.0,5.0
1809180000000000.0,692,3,,25,2024,261.0,,,,2.0,1.0
1809180681290487.0,692,3,13.0,25,2024,261.0,12.7,44.0,44.0,1.0,5.0
1809180683290487.0,692,3,15.0,25,2024,261.0,14.2,59.0,59.0,1.0,5.0
1809180685290487.0,692,3,17.0,25,2024,261.0,14.3,71.0,71.0,1.0,5.0
1809180000000000.0,692,4,,25,2024,261.0,,,,3.0,1.0
1809180687290487.0,692,4,17.0,25,2024,261.0,5.0,32.0,32.0,1.0,3.0
1809181922290487.0,697,1,5.0,25,2024,261.0,9.6,36.0,36.0,1.0,4.0
1809181932290487.0,697,2,8.0,25,2024,261.0,16.0,54.0,54.0,1.0,5.0
1809181945290487.0,697,3,9.0,25,2024,261.0,6.4,28.0,28.0,1.0,3.0
1809181947290487.0,697,3,13.0,25,2024,261.0,,,,1.0,
1809182230290487.0,698,1,4.0,25,2024,261.0,9.8,44.0,41.0,1.0,4.0
1809182231290487.0,698,1,5.0,25,2024,261.0,7.9,40.0,20.0,1.0,3.0
1809182234290487.0,698,1,9.0,25,2024,261.0,12.5,51.0,51.0,1.0,5.0
1809182240290487.0,698,2,7.0,25,2024,261.0,9.9,36.0,36.0,1.0,4.0
1809182242290487.0,698,3,3.0,25,2024,261.0,16.7,78.0,78.0,1.0,5.0
1809182243290487.0,698,3,4.0,25,2024,261.0,15.5,77.0,77.0,1.0,5.0
1809182244290487.0,698,3,5.0,25,2024,261.0,8.5,58.0,58.0,1.0,4.0
1809182245290487.0,698,3,6.0,25,2024,261.0,16.8,82.0,82.0,1.0,5.0
1809182248290487.0,698,4,4.0,25,2024,261.0,9.7,30.0,30.0,1.0,4.0
1809179829290487.0,808,1,1.0,25,2024,261.0,11.1,58.0,58.0,1.0,4.0
1809179831290487.0,808,1,3.0,25,2024,261.0,8.5,48.0,48.0,1.0,4.0
1809179832290487.0,808,1,4.0,25,2024,261.0,9.7,59.0,36.0,1.0,4.0
1809179833290487.0,808,1,5.0,25,2024,261.0,6.7,41.0,41.0,1.0,3.0
1809179860290487.0,808,4,4.0,25,2024,261.0,14.6,54.0,54.0,1.0,5.0
1809179863290487.0,808,4,7.0,25,2024,261.0,9.0,45.0,42.0,1.0,4.0
1809179864290487.0,808,4,8.0,25,2024,261.0,7.7,43.0,43.0,1.0,3.0
1809179866290487.0,808,4,10.0,25,2024,261.0,11.3,50.0,50.0,1.0,4.0
1809179870290487.0,808,4,14.0,25,2024,261.0,6.7,45.0,40.0,1.0,3.0
1809179867290487.0,808,4,11.0,25,2024,261.0,6.9,42.0,42.0,1.0,3.0
1809179871290487.0,808,4,15.0,25,2024,261.0,10.2,45.0,45.0,1.0,4.0
1809179872290487.0,808,4,16.0,25,2024,261.0,,,,1.0,
1809179877290487.0,808,4,21.0,25,2024,261.0,,,,1.0,
1809179875290487.0,808,4,19.0,25,2024,261.0,5.9,40.0,20.0,1.0,3.0
1809180945290487.0,947,2,6.0,25,2024,261.0,10.2,32.0,21.0,1.0,4.0
