CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,STAGE
1838010899290487,1996,2,19,23,2024,261.0,9.0,27.0,27.0,4.0
1838010904290487,1996,3,5,23,2024,261.0,7.3,48.0,48.0,3.0
1838010905290487,1996,3,6,23,2024,261.0,2.8,28.0,28.0,2.0
1838010906290487,1996,3,7,23,2024,261.0,4.2,38.0,38.0,2.0
1838010907290487,1996,3,16,23,2024,261.0,11.3,37.0,37.0,4.0
1838010915290487,1996,3,24,23,2024,261.0,7.0,42.0,42.0,3.0
1838010917290487,1996,3,26,23,2024,261.0,6.0,42.0,42.0,3.0
1838010918290487,1996,3,27,23,2024,261.0,5.6,41.0,41.0,3.0
1838010921290487,1996,4,10,23,2024,261.0,12.0,48.0,48.0,4.0
1838010922290487,1996,4,11,23,2024,261.0,11.3,50.0,50.0,4.0
1838010924290487,1996,4,13,23,2024,261.0,,,,
1838010925290487,1996,4,17,23,2024,261.0,8.6,44.0,44.0,4.0
1838010926290487,1996,4,20,23,2024,261.0,9.2,36.0,36.0,4.0
1837975522290487,406,3,21,23,2024,261.0,1.4,14.0,14.0,1.0
1838007257290487,524,3,26,23,2024,261.0,6.0,33.0,33.0,3.0
1838007648290487,684,4,4,23,2024,261.0,13.3,60.0,60.0,5.0
1837979436290487,764,1,25,23,2024,261.0,17.0,66.0,66.0,5.0
1837979441290487,764,1,52,23,2024,261.0,5.7,44.0,44.0,3.0
1837979448290487,764,2,3,23,2024,261.0,1.7,26.0,26.0,1.0
1837979446290487,764,2,1,23,2024,261.0,1.9,22.0,22.0,1.0
1837979447290487,764,2,2,23,2024,261.0,1.3,15.0,15.0,1.0
1837979449290487,764,2,4,23,2024,261.0,5.0,40.0,40.0,3.0
1837979451290487,764,2,9,23,2024,261.0,1.5,20.0,20.0,1.0
1837979453290487,764,2,16,23,2024,261.0,5.6,40.0,40.0,3.0
1837979454290487,764,2,21,23,2024,261.0,5.9,39.0,39.0,3.0
1837979458290487,764,2,31,23,2024,261.0,10.5,50.0,50.0,4.0
1837979460290487,764,2,37,23,2024,261.0,1.7,20.0,20.0,1.0
1837979461290487,764,2,38,23,2024,261.0,9.8,51.0,51.0,4.0
1837979477290487,764,3,14,23,2024,261.0,14.2,50.0,50.0,5.0
1837979482290487,764,3,19,23,2024,261.0,6.7,44.0,44.0,3.0
1837979487290487,764,3,24,23,2024,261.0,6.2,35.0,35.0,3.0
1837979494290487,764,4,10,23,2024,261.0,11.2,55.0,55.0,4.0
1837965890290487,984,1,9,23,2024,261.0,22.8,90.0,90.0,6.0
1837965891290487,984,2,1,23,2024,261.0,9.7,35.0,31.0,4.0
1837965888290487,984,1,6,23,2024,261.0,6.9,27.0,25.0,3.0
1837965896290487,984,2,6,23,2024,261.0,13.4,53.0,53.0,5.0
1837965899290487,984,2,10,23,2024,261.0,13.7,58.0,58.0,5.0
1837965900290487,984,2,11,23,2024,261.0,6.2,32.0,32.0,3.0
1837965906290487,984,3,7,23,2024,261.0,10.6,27.0,27.0,4.0
1837965910290487,984,3,12,23,2024,261.0,6.6,22.0,18.0,3.0
1837965914290487,984,4,4,23,2024,261.0,15.2,60.0,60.0,5.0
1837965912290487,984,4,1,23,2024,261.0,7.0,44.0,44.0,3.0
1837965913290487,984,4,3,23,2024,261.0,10.7,47.0,47.0,4.0
1837965918290487,984,4,10,23,2024,261.0,10.8,40.0,40.0,4.0
1837965919290487,984,4,11,23,2024,261.0,12.7,42.0,42.0,5.0
1837974954290487,1248,4,3,23,2024,261.0,6.7,33.0,33.0,3.0
1837974955290487,1248,4,4,23,2024,261.0,1.9,16.0,16.0,1.0
1837974956290487,1248,4,5,23,2024,261.0,11.2,63.0,56.0,4.0
1837974957290487,1248,4,6,23,2024,261.0,12.3,67.0,58.0,4.0
1837974964290487,1248,4,18,23,2024,261.0,12.2,54.0,54.0,4.0
1837974965290487,1248,4,19,23,2024,261.0,10.3,52.0,7.0,4.0
1837975294290487,1328,2,14,23,2024,261.0,10.7,56.0,56.0,4.0
