CN,PLOT,SUBP,TREE,STATECD,INVYR,SPCD,DIA,HT,ACTUALHT,STAGE
1817552267290487,984,4,3,50,2024,261.0,9.6,58.0,58.0,4.0
1817552268290487,984,4,4,50,2024,261.0,11.7,45.0,45.0,4.0
1817552269290487,984,4,5,50,2024,261.0,9.1,42.0,42.0,4.0
1817552277290487,984,4,13,50,2024,261.0,5.2,41.0,41.0,3.0
1817551546290487,1208,1,11,50,2024,261.0,5.2,37.0,37.0,3.0
1817551547290487,1208,2,1,50,2024,261.0,6.6,28.0,28.0,3.0
1817551555290487,1208,2,10,50,2024,261.0,8.0,32.0,32.0,4.0
1817551561290487,1208,2,18,50,2024,261.0,8.9,33.0,33.0,4.0
1817551562290487,1208,2,19,50,2024,261.0,6.5,30.0,30.0,3.0
1817551563290487,1208,2,20,50,2024,261.0,5.0,21.0,21.0,3.0
1817551582290487,1208,3,23,50,2024,261.0,5.5,25.0,25.0,3.0
1817552008290487,1224,4,15,50,2024,261.0,8.4,38.0,38.0,4.0
1817552009290487,1224,4,16,50,2024,261.0,6.0,29.0,29.0,3.0
1817551780290487,94,2,11,50,2024,261.0,15.5,58.0,58.0,5.0
1817551792290487,94,3,6,50,2024,261.0,12.9,60.0,60.0,5.0
1817551794290487,94,3,8,50,2024,261.0,14.3,58.0,58.0,5.0
1817551795290487,94,3,9,50,2024,261.0,13.4,49.0,49.0,5.0
1817551796290487,94,3,10,50,2024,261.0,5.2,33.0,33.0,3.0
1817551798290487,94,3,12,50,2024,261.0,7.5,40.0,40.0,3.0
1817551802290487,94,4,2,50,2024,261.0,12.9,56.0,56.0,5.0
1817551803290487,94,4,3,50,2024,261.0,21.3,68.0,68.0,6.0
1817551804290487,94,4,4,50,2024,261.0,6.8,37.0,37.0,3.0
1817551805290487,94,4,6,50,2024,261.0,6.6,40.0,40.0,3.0
1817551806290487,94,4,7,50,2024,261.0,17.6,70.0,70.0,5.0
1817551807290487,94,4,8,50,2024,261.0,8.0,61.0,61.0,4.0
1817551809290487,94,4,10,50,2024,261.0,8.2,37.0,37.0,4.0
1817551810290487,94,4,12,50,2024,261.0,19.5,67.0,67.0,6.0
1817550061290487,516,1,50,50,2024,261.0,4.0,26.0,26.0,2.0
1817550062290487,516,1,51,50,2024,261.0,3.8,24.0,24.0,2.0
1817550065290487,516,1,54,50,2024,261.0,2.1,14.0,14.0,1.0
1817550067290487,516,1,56,50,2024,261.0,5.5,30.0,30.0,3.0
1817550093290487,516,3,21,50,2024,261.0,5.2,25.0,25.0,3.0
1817552708290487,1103,3,2,50,2024,261.0,,,,
1817549504290487,1266,4,25,50,2024,261.0,1.2,12.0,12.0,1.0
1817548681290487,1279,2,1,50,2024,261.0,5.0,24.0,24.0,3.0
1817548689290487,1279,2,12,50,2024,261.0,1.6,11.0,11.0,1.0
1817548693290487,1279,2,16,50,2024,261.0,7.0,38.0,38.0,3.0
1817550238290487,1235,1,1,50,2024,261.0,6.4,36.0,36.0,3.0
1817550239290487,1235,1,2,50,2024,261.0,8.0,35.0,35.0,4.0
1817550240290487,1235,1,4,50,2024,261.0,13.0,69.0,69.0,5.0
1817550241290487,1235,1,5,50,2024,261.0,12.2,60.0,60.0,4.0
1817550245290487,1235,1,9,50,2024,261.0,7.0,40.0,40.0,3.0
1817550243290487,1235,1,7,50,2024,261.0,23.7,86.0,86.0,6.0
1817550244290487,1235,1,8,50,2024,261.0,21.5,85.0,85.0,6.0
1817550246290487,1235,1,11,50,2024,261.0,20.9,78.0,78.0,6.0
1817550247290487,1235,1,13,50,2024,261.0,7.6,51.0,51.0,3.0
1817550248290487,1235,1,14,50,2024,261.0,17.8,82.0,82.0,5.0
1817550249290487,1235,1,16,50,2024,261.0,6.2,63.0,63.0,3.0
1817550250290487,1235,1,17,50,2024,261.0,13.5,74.0,74.0,5.0
1817550251290487,1235,1,18,50,2024,261.0,8.4,55.0,51.0,4.0
1817550252290487,1235,1,19,50,2024,261.0,5.0,29.0,29.0,3.0
1817557274290487,2621,1,7,50,2024,261.0,17.5,73.0,73.0,5.0
1817557278290487,2621,1,11,50,2024,261.0,21.5,68.0,68.0,6.0
1817557279290487,2621,1,12,50,2024,261.0,13.3,57.0,57.0,5.0
1817557286290487,2621,2,7,50,2024,261.0,6.5,32.0,32.0,3.0
1817557297290487,2621,3,9,50,2024,261.0,22.7,59.0,33.0,6.0
1817557304290487,2621,4,4,50,2024,261.0,11.8,42.0,42.0,4.0
1817557306290487,2621,4,6,50,2024,261.0,12.5,42.0,42.0,5.0
1817557309290487,2621,4,9,50,2024,261.0,20.0,68.0,68.0,6.0
1817557310290487,2621,4,10,50,2024,261.0,9.0,39.0,39.0,4.0
1817557311290487,2621,4,11,50,2024,261.0,8.3,41.0,41.0,4.0
1817550894290487,61,1,4,50,2024,261.0,6.8,46.0,46.0,3.0
1817550891290487,61,1,1,50,2024,261.0,,,,
1817550892290487,61,1,2,50,2024,261.0,22.1,83.0,83.0,6.0
1817550896290487,61,1,6,50,2024,261.0,16.4,70.0,70.0,5.0
1817550897290487,61,1,8,50,2024,261.0,6.3,24.0,24.0,3.0
