CN              , PLOT, SUBP, STATECD, INVYR, SPCD , TREECOUNT, STAGE
1837994631290487,  446,    2,      23,  2024, 261.0,       3.0,     1
1837984639290487, 1983,    1,      23,  2024, 261.0,       1.0,     1
1837984641290487, 1983,    2,      23,  2024, 261.0,       3.0,     1
1837984644290487, 1983,    3,      23,  2024, 261.0,       3.0,     1
1837992272290487,  412,    1,      23,  2024, 261.0,       4.0,     1
1837992276290487,  412,    2,      23,  2024, 261.0,       2.0,     1
1837992328290487,   10,    2,      23,  2024, 261.0,       1.0,     1
1837987618290487,  275,    1,      23,  2024, 261.0,       1.0,     1
1837987916290487, 1884,    1,      23,  2024, 261.0,       3.0,     1
1837987921290487, 1884,    2,      23,  2024, 261.0,       2.0,     1
1837987929290487, 1884,    4,      23,  2024, 261.0,       1.0,     1
1837970300290487, 1474,    1,      23,  2024, 261.0,      10.0,     1
1837979794290487,  501,    4,      23,  2024, 261.0,       1.0,     1
1837982082290487,  836,    1,      23,  2024, 261.0,      55.0,     1
1837982086290487,  836,    3,      23,  2024, 261.0,       6.0,     1
1837982088290487,  836,    4,      23,  2024, 261.0,       2.0,     1
1837967291290487,  409,    1,      23,  2024, 261.0,       3.0,     1
1837976071290487,  703,    3,      23,  2024, 261.0,       1.0,     1
1837976075290487,  703,    4,      23,  2024, 261.0,       5.0,     1
1837976129290487,  964,    2,      23,  2024, 261.0,       5.0,     1
1837976133290487,  964,    3,      23,  2024, 261.0,       2.0,     1
1837976137290487,  964,    4,      23,  2024, 261.0,       1.0,     1
1837994867290487,  853,    3,      23,  2024, 261.0,      22.0,     1
1837995170290487, 1300,    1,      23,  2024, 261.0,       2.0,     1
1837995174290487, 1300,    3,      23,  2024, 261.0,       1.0,     1
1837992820290487, 1420,    3,      23,  2024, 261.0,       1.0,     1
1837992824290487, 1420,    4,      23,  2024, 261.0,       7.0,     1
1837992390290487,  314,    3,      23,  2024, 261.0,       2.0,     1
1837992533290487, 1681,    4,      23,  2024, 261.0,       1.0,     1
1837965874290487,  984,    1,      23,  2024, 261.0,       2.0,     1
1837965879290487,  984,    3,      23,  2024, 261.0,       2.0,     1
1837965881290487,  984,    4,      23,  2024, 261.0,       3.0,     1
1837998450290487,  109,    1,      23,  2024, 261.0,       1.0,     1
1837998965290487,  605,    3,      23,  2024, 261.0,       3.0,     1
1838013547290487, 1937,    3,      23,  2024, 261.0,       1.0,     1
1837985739290487, 1164,    2,      23,  2024, 261.0,       2.0,     1
1837998013290487, 1803,    1,      23,  2024, 261.0,       1.0,     1
1837998025290487, 1803,    3,      23,  2024, 261.0,       7.0,     1
1837998033290487, 1803,    4,      23,  2024, 261.0,       1.0,     1
1837991993290487,  919,    1,      23,  2024, 261.0,       3.0,     1
1837991997290487,  919,    2,      23,  2024, 261.0,      14.0,     1
1837992001290487,  919,    3,      23,  2024, 261.0,      28.0,     1
1837992003290487,  919,    4,      23,  2024, 261.0,       5.0,     1
1838015216290487, 1927,    1,      23,  2024, 261.0,       1.0,     1
1838015220290487, 1927,    2,      23,  2024, 261.0,      11.0,     1
1838015228290487, 1927,    4,      23,  2024, 261.0,       4.0,     1
